text,intent
Deleta comprar leite,delete_task
Deletar tarefa arrumar o quarto,delete_task
Remover arrumar o quarto,delete_task
Apagar arrumar o quarto,delete_task
Excluir arrumar o quarto,delete_task
Tirar arrumar o quarto da lista,delete_task
Cancela a tarefa arrumar o quarto,delete_task
Não preciso mais arrumar o quarto,delete_task
Pode apagar arrumar o quarto,delete_task
Remove a tarefa de arrumar o quarto,delete_task
Deleta arrumar o quarto,delete_task
Deletar tarefa ler um livro,delete_task
Remover ler um livro,delete_task
Apagar ler um livro,delete_task
Excluir ler um livro,delete_task
Tirar ler um livro da lista,delete_task
Cancela a tarefa ler um livro,delete_task
Não preciso mais ler um livro,delete_task
Pode apagar ler um livro,delete_task
Remove a tarefa de ler um livro,delete_task
Deleta ler um livro,delete_task
Deletar tarefa ir ao mercado,delete_task
Remover ir ao mercado,delete_task
Apagar ir ao mercado,delete_task
Excluir ir ao mercado,delete_task
Tirar ir ao mercado da lista,delete_task
Cancela a tarefa ir ao mercado,delete_task
Não preciso mais ir ao mercado,delete_task
Pode apagar ir ao mercado,delete_task
Remove a tarefa de ir ao mercado,delete_task
Deleta ir ao mercado,delete_task
Deletar tarefa fazer exercicios,delete_task
Remover fazer exercicios,delete_task
Apagar fazer exercicios,delete_task
Excluir fazer exercicios,delete_task
Tirar fazer exercicios da lista,delete_task
Cancela a tarefa fazer exercicios,delete_task
Não preciso mais fazer exercicios,delete_task
Pode apagar fazer exercicios,delete_task
Remove a tarefa de fazer exercicios,delete_task
Deleta fazer exercicios,delete_task
Deletar tarefa enviar email,delete_task
Remover enviar email,delete_task
Apagar enviar email,delete_task
Excluir enviar email,delete_task
Tirar enviar email da lista,delete_task
Cancela a tarefa enviar email,delete_task
Não preciso mais enviar email,delete_task
Pode apagar enviar email,delete_task
Remove a tarefa de enviar email,delete_task
Deleta enviar email,delete_task
Deletar tarefa limpar a casa,delete_task
Remover limpar a casa,delete_task
Apagar limpar a casa,delete_task
Excluir limpar a casa,delete_task
Tirar limpar a casa da lista,delete_task
Cancela a tarefa limpar a casa,delete_task
Não preciso mais limpar a casa,delete_task
Pode apagar limpar a casa,delete_task
Remove a tarefa de limpar a casa,delete_task
Deleta limpar a casa,delete_task
Deletar tarefa fazer o jantar,delete_task
Remover fazer o jantar,delete_task
Apagar fazer o jantar,delete_task
Excluir fazer o jantar,delete_task
Tirar fazer o jantar da lista,delete_task
Cancela a tarefa fazer o jantar,delete_task
Não preciso mais fazer o jantar,delete_task
Pode apagar fazer o jantar,delete_task
Remove a tarefa de fazer o jantar,delete_task
Deleta fazer o jantar,delete_task
Deletar tarefa comprar presente,delete_task
Remover comprar presente,delete_task
Apagar comprar presente,delete_task
Excluir comprar presente,delete_task
Tirar comprar presente da lista,delete_task
Cancela a tarefa comprar presente,delete_task
Não preciso mais comprar presente,delete_task
Pode apagar comprar presente,delete_task
Remove a tarefa de comprar presente,delete_task
Deleta comprar presente,delete_task
Deletar tarefa reservar restaurante,delete_task
Remover reservar restaurante,delete_task
Apagar reservar restaurante,delete_task
Excluir reservar restaurante,delete_task
Tirar reservar restaurante da lista,delete_task
Cancela a tarefa reservar restaurante,delete_task
Não preciso mais reservar restaurante,delete_task
Pode apagar reservar restaurante,delete_task
Remove a tarefa de reservar restaurante,delete_task
Deleta reservar restaurante,delete_task
Deletar tarefa cancelar assinatura,delete_task
Remover cancelar assinatura,delete_task
Apagar cancelar assinatura,delete_task
Excluir cancelar assinatura,delete_task
Tirar cancelar assinatura da lista,delete_task
Cancela a tarefa cancelar assinatura,delete_task
Não preciso mais cancelar assinatura,delete_task
Pode apagar cancelar assinatura,delete_task
Remove a tarefa de cancelar assinatura,delete_task
Deleta cancelar assinatura,delete_task
Deletar tarefa revisar codigo,delete_task
Remover revisar codigo,delete_task
Apagar revisar codigo,delete_task
Excluir revisar codigo,delete_task
Tirar revisar codigo da lista,delete_task
Cancela a tarefa revisar codigo,delete_task
Não preciso mais revisar codigo,delete_task
Pode apagar revisar codigo,delete_task
Remove a tarefa de revisar codigo,delete_task
Deleta revisar codigo,delete_task
Deletar tarefa treinar,delete_task
Remover treinar,delete_task
Apagar treinar,delete_task
Excluir treinar,delete_task
Tirar treinar da lista,delete_task
Cancela a tarefa treinar,delete_task
Não preciso mais treinar,delete_task
Pode apagar treinar,delete_task
Remove a tarefa de treinar,delete_task
Deleta treinar,delete_task
Completar comprar pão,complete_task
Concluir comprar pão,complete_task
Terminei de comprar pão,complete_task
Já fiz comprar pão,complete_task
Marcar comprar pão como feita,complete_task
Tarefa comprar pão concluída,complete_task
Finalizei comprar pão,complete_task
Marcar como pronto: comprar pão,complete_task
Riscar comprar pão da lista,complete_task
Dá um check em comprar pão,complete_task
Completar pagar conta,complete_task
Concluir pagar conta,complete_task
Terminei de pagar conta,complete_task
Já fiz pagar conta,complete_task
Marcar pagar conta como feita,complete_task
Tarefa pagar conta concluída,complete_task
Finalizei pagar conta,complete_task
Marcar como pronto: pagar conta,complete_task
Riscar pagar conta da lista,complete_task
Dá um check em pagar conta,complete_task
Completar ligar pro medico,complete_task
Concluir ligar pro medico,complete_task
Terminei de ligar pro medico,complete_task
Já fiz ligar pro medico,complete_task
Marcar ligar pro medico como feita,complete_task
Tarefa ligar pro medico concluída,complete_task
Finalizei ligar pro medico,complete_task
Marcar como pronto: ligar pro medico,complete_task
Riscar ligar pro medico da lista,complete_task
Dá um check em ligar pro medico,complete_task
Completar estudar python,complete_task
Concluir estudar python,complete_task
Terminei de estudar python,complete_task
Já fiz estudar python,complete_task
Marcar estudar python como feita,complete_task
Tarefa estudar python concluída,complete_task
Finalizei estudar python,complete_task
Marcar como pronto: estudar python,complete_task
Riscar estudar python da lista,complete_task
Dá um check em estudar python,complete_task
Completar fazer o relatorio,complete_task
Concluir fazer o relatorio,complete_task
Terminei de fazer o relatorio,complete_task
Já fiz fazer o relatorio,complete_task
Marcar fazer o relatorio como feita,complete_task
Tarefa fazer o relatorio concluída,complete_task
Finalizei fazer o relatorio,complete_task
Marcar como pronto: fazer o relatorio,complete_task
Riscar fazer o relatorio da lista,complete_task
Dá um check em fazer o relatorio,complete_task
Completar lavar o carro,complete_task
Concluir lavar o carro,complete_task
Terminei de lavar o carro,complete_task
Já fiz lavar o carro,complete_task
Marcar lavar o carro como feita,complete_task
Tarefa lavar o carro concluída,complete_task
Finalizei lavar o carro,complete_task
Marcar como pronto: lavar o carro,complete_task
Riscar lavar o carro da lista,complete_task
Dá um check em lavar o carro,complete_task
Completar passear com cachorro,complete_task
Concluir passear com cachorro,complete_task
Terminei de passear com cachorro,complete_task
Já fiz passear com cachorro,complete_task
Marcar passear com cachorro como feita,complete_task
Tarefa passear com cachorro concluída,complete_task
Finalizei passear com cachorro,complete_task
Marcar como pronto: passear com cachorro,complete_task
Riscar passear com cachorro da lista,complete_task
Dá um check em passear com cachorro,complete_task
Completar comprar leite,complete_task
Concluir comprar leite,complete_task
Terminei de comprar leite,complete_task
Já fiz comprar leite,complete_task
Marcar comprar leite como feita,complete_task
Tarefa comprar leite concluída,complete_task
Finalizei comprar leite,complete_task
Marcar como pronto: comprar leite,complete_task
Riscar comprar leite da lista,complete_task
Dá um check em comprar leite,complete_task
Completar arrumar o quarto,complete_task
Concluir arrumar o quarto,complete_task
Terminei de arrumar o quarto,complete_task
Já fiz arrumar o quarto,complete_task
Marcar arrumar o quarto como feita,complete_task
Tarefa arrumar o quarto concluída,complete_task
Finalizei arrumar o quarto,complete_task
Marcar como pronto: arrumar o quarto,complete_task
Riscar arrumar o quarto da lista,complete_task
Dá um check em arrumar o quarto,complete_task
Completar ler um livro,complete_task
Concluir ler um livro,complete_task
Terminei de ler um livro,complete_task
Já fiz ler um livro,complete_task
Marcar ler um livro como feita,complete_task
Tarefa ler um livro concluída,complete_task
Finalizei ler um livro,complete_task
Marcar como pronto: ler um livro,complete_task
Riscar ler um livro da lista,complete_task
Dá um check em ler um livro,complete_task
Completar ir ao mercado,complete_task
Concluir ir ao mercado,complete_task
Terminei de ir ao mercado,complete_task
Já fiz ir ao mercado,complete_task
Marcar ir ao mercado como feita,complete_task
Tarefa ir ao mercado concluída,complete_task
Finalizei ir ao mercado,complete_task
Marcar como pronto: ir ao mercado,complete_task
Riscar ir ao mercado da lista,complete_task
Dá um check em ir ao mercado,complete_task
Completar fazer exercicios,complete_task
Concluir fazer exercicios,complete_task
Terminei de fazer exercicios,complete_task
Já fiz fazer exercicios,complete_task
Marcar fazer exercicios como feita,complete_task
Tarefa fazer exercicios concluída,complete_task
Finalizei fazer exercicios,complete_task
Marcar como pronto: fazer exercicios,complete_task
Riscar fazer exercicios da lista,complete_task
Dá um check em fazer exercicios,complete_task
Completar enviar email,complete_task
Concluir enviar email,complete_task
Terminei de enviar email,complete_task
Já fiz enviar email,complete_task
Marcar enviar email como feita,complete_task
Tarefa enviar email concluída,complete_task
Finalizei enviar email,complete_task
Marcar como pronto: enviar email,complete_task
Riscar enviar email da lista,complete_task
Dá um check em enviar email,complete_task
Completar limpar a casa,complete_task
Concluir limpar a casa,complete_task
Terminei de limpar a casa,complete_task
Já fiz limpar a casa,complete_task
Marcar limpar a casa como feita,complete_task
Tarefa limpar a casa concluída,complete_task
Finalizei limpar a casa,complete_task
Marcar como pronto: limpar a casa,complete_task
Riscar limpar a casa da lista,complete_task
Dá um check em limpar a casa,complete_task
Completar fazer o jantar,complete_task
Concluir fazer o jantar,complete_task
Terminei de fazer o jantar,complete_task
Já fiz fazer o jantar,complete_task
Marcar fazer o jantar como feita,complete_task
Tarefa fazer o jantar concluída,complete_task
Finalizei fazer o jantar,complete_task
Marcar como pronto: fazer o jantar,complete_task
Riscar fazer o jantar da lista,complete_task
Dá um check em fazer o jantar,complete_task
Completar comprar presente,complete_task
Concluir comprar presente,complete_task
Terminei de comprar presente,complete_task
Já fiz comprar presente,complete_task
Marcar comprar presente como feita,complete_task
Tarefa comprar presente concluída,complete_task
Finalizei comprar presente,complete_task
Marcar como pronto: comprar presente,complete_task
Riscar comprar presente da lista,complete_task
Dá um check em comprar presente,complete_task
Completar reservar restaurante,complete_task
Concluir reservar restaurante,complete_task
Terminei de reservar restaurante,complete_task
Já fiz reservar restaurante,complete_task
Marcar reservar restaurante como feita,complete_task
Tarefa reservar restaurante concluída,complete_task
Finalizei reservar restaurante,complete_task
Marcar como pronto: reservar restaurante,complete_task
Riscar reservar restaurante da lista,complete_task
Dá um check em reservar restaurante,complete_task
Completar cancelar assinatura,complete_task
Concluir cancelar assinatura,complete_task
Terminei de cancelar assinatura,complete_task
Já fiz cancelar assinatura,complete_task
Marcar cancelar assinatura como feita,complete_task
Tarefa cancelar assinatura concluída,complete_task
Finalizei cancelar assinatura,complete_task
Marcar como pronto: cancelar assinatura,complete_task
Riscar cancelar assinatura da lista,complete_task
Dá um check em cancelar assinatura,complete_task
Completar revisar codigo,complete_task
Concluir revisar codigo,complete_task
Terminei de revisar codigo,complete_task
Já fiz revisar codigo,complete_task
Marcar revisar codigo como feita,complete_task
Tarefa revisar codigo concluída,complete_task
Finalizei revisar codigo,complete_task
Marcar como pronto: revisar codigo,complete_task
Riscar revisar codigo da lista,complete_task
Dá um check em revisar codigo,complete_task
Completar treinar,complete_task
Concluir treinar,complete_task
Terminei de treinar,complete_task
Já fiz treinar,complete_task
Marcar treinar como feita,complete_task
Tarefa treinar concluída,complete_task
Finalizei treinar,complete_task
Marcar como pronto: treinar,complete_task
Riscar treinar da lista,complete_task
Dá um check em treinar,complete_task
Editar tarefa comprar pão,edit_task
Modificar comprar pão,edit_task
Alterar comprar pão,edit_task
Mudar a tarefa comprar pão,edit_task
Corrigir comprar pão,edit_task
Edita a tarefa de comprar pão,edit_task
Quero alterar comprar pão,edit_task
Mudar detalhes de comprar pão,edit_task
Atualizar comprar pão,edit_task
Refazer comprar pão,edit_task
Editar tarefa pagar conta,edit_task
Modificar pagar conta,edit_task
Alterar pagar conta,edit_task
Mudar a tarefa pagar conta,edit_task
Corrigir pagar conta,edit_task
Edita a tarefa de pagar conta,edit_task
Quero alterar pagar conta,edit_task
Mudar detalhes de pagar conta,edit_task
Atualizar pagar conta,edit_task
Refazer pagar conta,edit_task
Editar tarefa ligar pro medico,edit_task
Modificar ligar pro medico,edit_task
Alterar ligar pro medico,edit_task
Mudar a tarefa ligar pro medico,edit_task
Corrigir ligar pro medico,edit_task
Edita a tarefa de ligar pro medico,edit_task
Quero alterar ligar pro medico,edit_task
Mudar detalhes de ligar pro medico,edit_task
Atualizar ligar pro medico,edit_task
Refazer ligar pro medico,edit_task
Editar tarefa estudar python,edit_task
Modificar estudar python,edit_task
Alterar estudar python,edit_task
Mudar a tarefa estudar python,edit_task
Corrigir estudar python,edit_task
Edita a tarefa de estudar python,edit_task
Quero alterar estudar python,edit_task
Mudar detalhes de estudar python,edit_task
Atualizar estudar python,edit_task
Refazer estudar python,edit_task
Editar tarefa fazer o relatorio,edit_task
Modificar fazer o relatorio,edit_task
Alterar fazer o relatorio,edit_task
Mudar a tarefa fazer o relatorio,edit_task
Corrigir fazer o relatorio,edit_task
Edita a tarefa de fazer o relatorio,edit_task
Quero alterar fazer o relatorio,edit_task
Mudar detalhes de fazer o relatorio,edit_task
Atualizar fazer o relatorio,edit_task
Refazer fazer o relatorio,edit_task
Editar tarefa lavar o carro,edit_task
Modificar lavar o carro,edit_task
Alterar lavar o carro,edit_task
Mudar a tarefa lavar o carro,edit_task
Corrigir lavar o carro,edit_task
Edita a tarefa de lavar o carro,edit_task
Quero alterar lavar o carro,edit_task
Mudar detalhes de lavar o carro,edit_task
Atualizar lavar o carro,edit_task
Refazer lavar o carro,edit_task
Editar tarefa passear com cachorro,edit_task
Modificar passear com cachorro,edit_task
Alterar passear com cachorro,edit_task
Mudar a tarefa passear com cachorro,edit_task
Corrigir passear com cachorro,edit_task
Edita a tarefa de passear com cachorro,edit_task
Quero alterar passear com cachorro,edit_task
Mudar detalhes de passear com cachorro,edit_task
Atualizar passear com cachorro,edit_task
Refazer passear com cachorro,edit_task
Editar tarefa comprar leite,edit_task
Modificar comprar leite,edit_task
Alterar comprar leite,edit_task
Mudar a tarefa comprar leite,edit_task
Corrigir comprar leite,edit_task
Edita a tarefa de comprar leite,edit_task
Quero alterar comprar leite,edit_task
Mudar detalhes de comprar leite,edit_task
Atualizar comprar leite,edit_task
Refazer comprar leite,edit_task
Editar tarefa arrumar o quarto,edit_task
Modificar arrumar o quarto,edit_task
Alterar arrumar o quarto,edit_task
Mudar a tarefa arrumar o quarto,edit_task
Corrigir arrumar o quarto,edit_task
Edita a tarefa de arrumar o quarto,edit_task
Quero alterar arrumar o quarto,edit_task
Mudar detalhes de arrumar o quarto,edit_task
Atualizar arrumar o quarto,edit_task
Refazer arrumar o quarto,edit_task
Editar tarefa ler um livro,edit_task
Modificar ler um livro,edit_task
Alterar ler um livro,edit_task
Mudar a tarefa ler um livro,edit_task
Corrigir ler um livro,edit_task
Edita a tarefa de ler um livro,edit_task
Quero alterar ler um livro,edit_task
Mudar detalhes de ler um livro,edit_task
Atualizar ler um livro,edit_task
Refazer ler um livro,edit_task
Editar tarefa ir ao mercado,edit_task
Modificar ir ao mercado,edit_task
Alterar ir ao mercado,edit_task
Mudar a tarefa ir ao mercado,edit_task
Corrigir ir ao mercado,edit_task
Edita a tarefa de ir ao mercado,edit_task
Quero alterar ir ao mercado,edit_task
Mudar detalhes de ir ao mercado,edit_task
Atualizar ir ao mercado,edit_task
Refazer ir ao mercado,edit_task
Editar tarefa fazer exercicios,edit_task
Modificar fazer exercicios,edit_task
Alterar fazer exercicios,edit_task
Mudar a tarefa fazer exercicios,edit_task
Corrigir fazer exercicios,edit_task
Edita a tarefa de fazer exercicios,edit_task
Quero alterar fazer exercicios,edit_task
Mudar detalhes de fazer exercicios,edit_task
Atualizar fazer exercicios,edit_task
Refazer fazer exercicios,edit_task
Editar tarefa enviar email,edit_task
Modificar enviar email,edit_task
Alterar enviar email,edit_task
Mudar a tarefa enviar email,edit_task
Corrigir enviar email,edit_task
Edita a tarefa de enviar email,edit_task
Quero alterar enviar email,edit_task
Mudar detalhes de enviar email,edit_task
Atualizar enviar email,edit_task
Refazer enviar email,edit_task
Editar tarefa limpar a casa,edit_task
Modificar limpar a casa,edit_task
Alterar limpar a casa,edit_task
Mudar a tarefa limpar a casa,edit_task
Corrigir limpar a casa,edit_task
Edita a tarefa de limpar a casa,edit_task
Quero alterar limpar a casa,edit_task
Mudar detalhes de limpar a casa,edit_task
Atualizar limpar a casa,edit_task
Refazer limpar a casa,edit_task
Editar tarefa fazer o jantar,edit_task
Modificar fazer o jantar,edit_task
Alterar fazer o jantar,edit_task
Mudar a tarefa fazer o jantar,edit_task
Corrigir fazer o jantar,edit_task
Edita a tarefa de fazer o jantar,edit_task
Quero alterar fazer o jantar,edit_task
Mudar detalhes de fazer o jantar,edit_task
Atualizar fazer o jantar,edit_task
Refazer fazer o jantar,edit_task
Editar tarefa comprar presente,edit_task
Modificar comprar presente,edit_task
Alterar comprar presente,edit_task
Mudar a tarefa comprar presente,edit_task
Corrigir comprar presente,edit_task
Edita a tarefa de comprar presente,edit_task
Quero alterar comprar presente,edit_task
Mudar detalhes de comprar presente,edit_task
Atualizar comprar presente,edit_task
Refazer comprar presente,edit_task
Editar tarefa reservar restaurante,edit_task
Modificar reservar restaurante,edit_task
Alterar reservar restaurante,edit_task
Mudar a tarefa reservar restaurante,edit_task
Corrigir reservar restaurante,edit_task
Edita a tarefa de reservar restaurante,edit_task
Quero alterar reservar restaurante,edit_task
Mudar detalhes de reservar restaurante,edit_task
Atualizar reservar restaurante,edit_task
Refazer reservar restaurante,edit_task
Editar tarefa cancelar assinatura,edit_task
Modificar cancelar assinatura,edit_task
Alterar cancelar assinatura,edit_task
Mudar a tarefa cancelar assinatura,edit_task
Corrigir cancelar assinatura,edit_task
Edita a tarefa de cancelar assinatura,edit_task
Quero alterar cancelar assinatura,edit_task
Mudar detalhes de cancelar assinatura,edit_task
Atualizar cancelar assinatura,edit_task
Refazer cancelar assinatura,edit_task
Editar tarefa revisar codigo,edit_task
